# Thermal conductivity tables for common cryogenic structural and wiring materials.
# Values in W/m/K. Transcribed from F. Pobell, "Matter and Methods at Low Temperatures",
# 3rd ed. (Springer, 2007), Table 2.3 and Fig. 2.5, with cross-checks against the NIST
# cryogenic property database (https://trc.nist.gov/cryogenics/materials/) and Ekin,
# "Experimental Techniques for Low-Temperature Measurements" (Oxford, 2006), Appendix A2.
#
# Below 1 K, values follow Pobell Fig. 2.5 extrapolations (metals: kappa ~ T from
# electron-phonon scattering at T << Theta_D). For superconducting NbTi below Tc,
# kappa drops with the BCS exponential gap suppression of electronic conduction.
#
# Columns: temperature_K, kappa_SS304, kappa_CuNi70_30, kappa_BeCu, kappa_NbTi,
#          kappa_OFHC_Cu_RRR100, kappa_brass
T_K,SS304,CuNi,BeCu,NbTi,OFHC_Cu,brass
0.05,0.0006,0.00025,0.0030,3.5e-5,0.10,0.020
0.1,0.0050,0.0030,0.0080,1.5e-4,1.00,0.060
0.3,0.020,0.012,0.050,1.5e-3,3.00,0.30
1.0,0.070,0.040,0.30,0.012,10.0,1.5
4.0,0.27,0.16,1.2,0.27,50.0,3.0
10.0,0.93,0.50,5.5,1.5,500.0,8.0
20.0,2.10,1.5,15.0,4.0,1100.0,18.0
50.0,5.30,5.0,30.0,9.0,900.0,30.0
80.0,8.10,8.0,42.0,12.0,700.0,45.0
100.0,9.50,10.0,50.0,14.0,600.0,55.0
150.0,12.4,14.0,70.0,17.0,500.0,70.0
200.0,14.0,17.0,80.0,19.0,450.0,75.0
300.0,15.6,22.0,90.0,22.0,400.0,80.0
